Year,Month,Coaches with >9 seats (driver seat included) of any maximum permissible weight,"Heavy duty vehicles with a maximum permissible weight 3,5 tonnes and <12 tonnes","Heavy duty vehicles with a trailer with a maximum permissible weight >3,5 tonnes and <12 tonnes",Heavy duty vehicles with a maximum permissible weight >12 tonnes
2019,January,3364260,4456715,2263904,69481058
2019,February,3062604,4325482,2106249,65221954
2019,March,3734454,5293430,2485374,77009538
2019,April,3703275,5246888,2462182,75356576
2019,May,5077132,5443903,2457273,76043822
2019,June,4911723,5226530,2304773,71701767
2019,July,4283578,5652842,2563650,79433994
2019,August,4189198,5308119,2297267,72891930
2019,September,4319591,5395824,2428362,76407442
2019,October,4154264,5752594,2608651,82753534
2019,November,3423894,4986522,2255478,75389226
2019,December,3351015,4392856,1991095,64997398
2020,January,3309690,4518440,2129296,71370632
2020,February,3229396,4684532,2156085,73017945
2020,March,2138622,4464988,2298283,79630284
2020,April,1007850,3530885,1894083,66123283
2020,May,1256585,4403027,2072303,70696517
2020,June,1786705,5194560,2274229,75071579
2020,July,2511821,5735532,2444582,79360923
2020,August,2675933,5358745,2205200,75035819
2020,September,2601873,5500566,2341914,79282428
2020,October,2519315,5710413,2450268,84593975
2020,November,1978150,5079844,2215018,80866207
2020,December,1999632,4863037,2132236,74936447
2021,January,1870112,4279725,1924656,71173907
2021,February,1865881,4607895,2076113,75014188
2021,March,2057322,5914478,2537875,91529698
2021,April,1840065,5507759,2258058,83274774
2021,May,2200719,5859225,2289349,84564545
2021,June,2903840,6035966,2328397,85585224
2021,July,3063582,6106835,2305203,85381303
2021,August,3128425,5880202,2216647,82380664
2021,September,3201012,5612436,2137315,80656857
2021,October,3171629,2773200,3164922,87609102
2021,November,2591317,2807888,3192402,90641563
2021,December,2061007,2247078,2486808,69847980
2022,January,2311286,2487539,2791081,80890928
2022,February,2236662,2610954,2950167,83092493
2022,March,3064286,2983005,3536973,95761844
2022,April,2759455,2667467,3098010,84517972
2022,May,3633167,2878059,3269265,88994963
2022,June,4142966,2882865,3206575,87732339
2022,July,3520276,2759482,3022554,84880418
2022,August,3440078,2823737,3094503,86577714
2022,September,3660849,2873739,3266894,90638781
2022,October,3601410,2835083,3147399,89809602
2022,November,2937408,2689370,3066425,88364135
2022,December,2794766,2439152,2597873,71944545
2023,January,2598851,2372238,2551955,72506353
2023,February,2490278,2335169,2483136,71978071
2023,March,2955458,2771665,2964574,84305456
2023,April,3003590,2448869,2546660,72684688
2023,May,3720818,2695547,2803543,78868499
2023,June,4080976,2741385,2808056,79316800
2023,July,3460915,2687825,2669953,76775316
2023,August,3306000,2717759,2684891,77707616
2023,September,3625927,2702537,2797718,80066790
2023,October,3565119,2805037,2881768,84463690
2023,November,2837678,2640287,2682163,80810350
2023,December,2865566,2346007,2222463,67791221
